PUMFID,LM_50A,LM_50B,LM_55,LM_60A,LM_60B,LM_60C,LM_60D,LM_60E,LM_60F,LM_60G,LM_60H,LM_65A,LM_65B,LM_65C,LM_65D,LM_65E,LM_75A,LM_75B,LM_75C,LM_75D,LM_75E,LM_75F,LM_75G,LM_75H,ER_05A,ER_05B,ER_05C,ER_05D,ER_05E,ER_05F,ER_05G,ER_05H,ER_05I,ER_05J,ER_05K,ER_05L,ER_05M,ER_05N,ER_10,HR_05A,HR_05B,HR_05C,HR_05D,HR_05E,HR_10,HR_15A,HR_15B,HR_15C,HR_15D,HR_15E,HR_15F,HR_15G,HR_15H,HR_15I,HR_15J,HR_20A,HR_20B,HR_20C,HR_20D,HR_20E,HR_20F,HR_20G,HR_20H,HR_20I,HR_25A,HR_25B,HR_25C,HR_30A,HR_30B,HR_30C,HR_30D,HR_30E,HR_30F,HR_30G,HR_30H,HR_35,HR_Q25BC,FCR_05,FCR_15,FCR_20,FCR_10A,FCR_10B,FCR_10C,FCR_10D,FCR_10E,FCR_10F,FCR_10G,FCR_10H,FCR_10I,FCR_10J,FCR_10K,CT_05,PCT_10,CT_15A,CT_15B,CT_15C,CT_15D,CT_15E,CT_15F,PTC_05A,PTC_05B,PTC_05C,PTC_05D,PTC_05E,PTC_05F,PTC_05G,PTC_05H,PTC_05I,PTC_05J,PTC_05K,PTC_05L,PTC_05M,PTC_10,PTC_15A,PTC15BC,PTC_15E,PTC_15F,PTC_15G,PTC15DHI,PFW_05A,PFW_05B,PFW_05C,PFW_05D,PFW_05E,PFW_05F,PFW_05G,RURURB,SEX,PTELEWSC,MARSTATC,IMMIGRNC,PCHILD,HHLDSIZC,AGEGRP,PDWELCDC,PEDUC_LC,PEMPSTC,PERS_WGT,VERDATE
7051,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,3,2,3,2,3,3,3,2,4,2,4,1,1,1,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,1,1,1,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,7,1,1,5,3,1,1,1,1,1,2,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,3,2,3,3,3,2,2,3,3,3,2,4,2,.a,.a,.a,.a,.a,.a,5,1,4,4,2,1,5,2,2,.d,1,1,0,2,5,1,7,4,1345.079,16/07/2020
7052,3,.a,1,2,1,2,2,2,2,2,2,.a,.a,.a,.a,.a,1,2,1,1,1,1,1,1,1,1,1,3,1,3,3,3,2,2,1,1,1,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,3,.a,.a,2,2,2,1,1,2,2,1,8,.a,1,3,2,2,2,3,2,1,1,3,3,2,3,5,3,7,2,2,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,.a,.a,.a,.a,.a,.a,1,5,4,1,1,1,1,2,1,1,1,1,1,2,3,4,4,1,3215.4269,16/07/2020
7053,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,3,3,2,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,1,1,5,3,1,2,4,2,3,2,3,5,5,3,5,3,3,.a,.a,.a,.a,.a,.a,2,3,2,3,3,3,2,2,3,3,2,2,2,1,2,2,2,2,2,1,3,1,4,4,3,2,2,2,2,3,1,2,0,3,4,1,4,1,51411.8356,16/07/2020
7054,3,.a,.b,1,1,2,2,2,1,1,2,.a,.a,.a,.a,.a,2,2,2,2,1,5,3,3,1,2,2,3,2,3,2,3,1,1,3,2,3,3,1,1,1,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,2,2,4,.a,.a,2,2,1,1,1,2,2,2,9,.a,1,3,4,3,2,2,2,2,1,2,1,2,3,5,3,7,2,1,2,2,2,2,2,3,2,3,3,3,1,4,4,2,2,2,3,2,.a,.a,.a,.a,.a,.a,3,5,2,5,3,1,2,2,1,1,1,1,1,2,3,1,7,1,2275.4921,16/07/2020
7055,3,.a,1,1,2,2,1,1,2,2,1,.a,.a,.a,.a,.a,2,2,2,5,5,5,2,5,3,3,3,3,3,3,3,3,3,2,3,4,3,3,2,2,1,2,2,2,3,2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,8,1,1,3,3,2,2,2,3,3,3,5,2,3,5,5,3,3,.a,.a,.a,.a,.a,.a,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,1,2,2,2,2,3,3,4,4,3,3,2,1,1,3,1,1,1,2,4,1,1,1,5114.598,16/07/2020
7056,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,4,3,3,3,2,3,3,3,2,4,3,4,2,2,1,2,2,2,3,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,4,.a,.a,2,2,2,2,2,2,1,2,8,.a,1,5,3,3,3,3,2,2,3,5,5,5,5,5,3,7,2,2,2,1,2,2,2,2,3,3,3,3,1,3,3,3,4,4,4,1,2,2,2,2,2,1,5,5,3,4,5,5,3,2,1,2,1,2,0,2,5,1,6,1,22768.2281,16/07/2020
7057,3,.a,1,2,2,1,1,1,2,2,2,.a,.a,.a,.a,.a,2,2,1,2,5,5,2,2,3,2,3,3,2,3,3,3,3,4,2,1,4,4,2,2,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,2,1,2,2,4,.a,.a,2,2,2,2,2,2,1,2,5,.a,1,4,3,3,3,3,3,2,3,1,1,5,3,1,3,8,2,1,2,2,2,2,2,2,2,3,2,3,1,2,4,2,2,3,4,2,.a,.a,.a,.a,.a,.a,2,5,1,5,5,1,1,2,2,1,1,1,1,2,2,1,7,1,10381.2266,16/07/2020
7058,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,3,2,2,2,3,3,3,3,1,3,3,2,2,2,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,1,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,7,1,1,2,3,3,3,3,1,3,3,5,5,5,5,5,3,3,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,1,5,5,2,4,2,2,2,2,2,3,1,2,0,2,4,1,1,1,8309.1054,16/07/2020
7059,3,.a,2,1,1,1,1,1,2,1,2,1,2,2,2,2,4,3,3,1,2,1,4,2,1,2,2,1,2,3,2,1,3,3,2,3,2,3,1,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,1,1,2,4,1,1,3,1,1,1,1,1,1,2,2,3,7,2,1,2,1,2,2,2,3,2,3,3,3,1,2,3,2,3,3,2,2,.a,.a,.a,.a,.a,.a,3,3,4,4,3,2,2,2,2,4,1,1,1,2,4,1,6,2,3210.0298,16/07/2020
7060,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,3,3,1,4,3,4,2,1,1,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,1,1,1,3,2,2,3,2,1,2,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,3,2,3,2,3,1,3,3,2,2,2,2,2,.a,.a,.a,.a,.a,.a,5,1,4,4,1,2,1,2,1,.d,1,1,0,2,7,1,2,4,1559.7003,16/07/2020
7061,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,4,3,3,3,4,3,4,3,4,.b,1,1,2,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,1,2,2,1,2,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,7,.a,1,3,3,1,3,1,1,2,2,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,2,2,2,2,4,1,4,4,2,2,2,4,2,.a,.a,.a,.a,.a,.a,5,5,3,5,5,5,5,1,2,.d,1,1,0,2,5,1,5,4,2423.8969,16/07/2020
7062,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,3,2,3,3,3,2,4,2,4,2,2,2,1,2,2,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,1,1,2,1,2,2,2,.a,.b,.a,.a,.a,.a,.a,.a,.a,.a,10,.b,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,.a,.a,.a,.a,.a,.a,1,2,1,2,2,2,1,1,2,1,1,1,1,2,.a,.a,.a,.a,.a,.a,5,5,2,5,2,2,1,1,1,3,4,1,0,1,3,1,5,1,1156.9412,16/07/2020
7063,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,1,3,3,3,3,3,3,3,3,4,4,4,2,1,1,2,2,2,4,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,5,2,1,3,3,1,1,1,3,1,1,5,5,5,5,5,3,3,.a,.a,.a,.a,.a,.a,1,1,2,2,3,3,1,2,3,2,2,2,2,2,.a,.a,.a,.a,.a,.a,5,5,3,5,1,1,5,2,2,3,1,1,0,2,2,4,4,1,12652.6429,16/07/2020
7064,3,.a,1,2,2,1,1,2,2,2,2,.a,.a,.a,.a,.a,2,5,1,5,5,2,1,5,3,3,3,4,3,3,3,3,3,3,3,4,3,4,2,1,2,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,2,2,2,1,2,2,4,.a,.a,2,2,2,1,2,2,1,2,8,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,5,8,2,2,2,1,2,2,1,2,1,4,2,2,4,4,4,1,2,1,4,2,.a,.a,.a,.a,.a,.a,5,5,1,5,1,1,1,2,1,1,4,1,0,1,5,3,7,1,3404.8668,16/07/2020
7065,3,.a,.b,2,1,1,1,2,1,1,2,.a,.a,.a,.a,.a,3,4,2,5,5,5,2,5,3,1,3,3,1,3,1,3,1,3,3,4,1,3,2,1,1,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,1,1,2,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,7,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,.a,.a,.a,.a,.a,.a,2,2,2,2,2,3,1,2,3,2,2,2,2,2,.a,.a,.a,.a,.a,.a,2,2,2,3,2,2,4,2,1,1,3,1,1,1,6,4,2,1,4138.2936,16/07/2020
7066,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,3,3,1,3,1,3,3,3,3,4,1,4,2,1,1,2,2,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,2,2,2,2,2,2,4,.a,.a,2,2,2,1,2,2,2,2,7,.a,1,4,3,3,3,3,3,3,3,5,5,5,5,5,3,3,.a,.a,.a,.a,.a,.a,2,3,1,2,2,3,1,2,3,2,2,4,1,2,.a,.a,.a,.a,.a,.a,5,5,1,2,2,4,4,1,1,3,2,1,0,2,3,1,4,1,3603.0365,16/07/2020
7067,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,1,3,3,3,3,3,3,3,3,3,4,3,4,2,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,2,1,2,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,8,.a,.a,.a,.a,.a,.a,2,2,1,2,2,2,1,1,2,1,2,2,4,2,.a,.a,.a,.a,.a,.a,5,5,2,2,2,2,5,2,2,2,3,1,0,1,5,4,4,1,881.1857,16/07/2020
7068,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,3,2,3,2,3,2,2,2,4,2,4,2,1,2,1,2,2,3,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,.a,.b,.a,.a,.a,.a,.a,.a,.a,.a,5,.b,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,6,7,2,2,2,2,2,1,2,2,2,2,2,3,1,2,2,1,3,3,2,2,.a,.a,.a,.a,.a,.a,5,5,3,4,1,1,2,2,2,2,3,1,0,1,4,1,2,1,1890.2373,16/07/2020
7069,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,4,3,3,2,1,2,2,.d,2,4,1,4,2,1,1,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,2,1,2,2,3,.a,.a,2,2,2,1,1,2,2,2,7,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,8,1,2,2,2,2,2,3,3,1,3,3,2,1,4,4,1,1,1,4,2,.a,.a,.a,.a,.a,.a,5,5,4,4,2,1,1,2,2,2,4,1,0,1,6,3,7,1,4992.0727,16/07/2020
7070,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,3,2,3,2,3,2,1,2,4,2,4,2,2,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,8,1,1,4,3,3,1,4,1,1,2,1,3,1,3,5,3,8,2,1,2,2,2,1,2,3,1,2,3,3,1,1,3,2,2,3,2,2,.a,.a,.a,.a,.a,.a,3,5,3,3,1,3,1,1,2,.d,1,1,1,2,3,1,6,4,9367.7502,16/07/2020
7071,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,2,2,2,3,3,3,3,3,3,3,3,4,3,4,2,2,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,8,1,1,5,3,1,3,2,1,3,2,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,2,2,3,3,3,2,4,3,2,2,2,4,2,.a,.a,.a,.a,.a,.a,5,5,2,3,2,1,1,2,2,.d,1,1,0,2,6,1,4,4,9035.094,16/07/2020
7072,3,.a,1,2,2,2,2,2,2,2,1,.a,.a,.a,.a,.a,1,1,1,5,5,1,1,1,3,2,1,3,3,3,3,3,3,1,3,4,3,4,1,1,2,2,2,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,2,1,2,1,2,2,4,.a,.a,2,2,2,1,1,2,2,2,8,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,.a,.a,.a,.a,.a,.a,1,2,1,2,2,2,1,4,2,1,1,1,1,2,.a,.a,.a,.a,.a,.a,5,5,3,3,2,2,3,1,1,1,4,1,0,1,2,1,6,1,1509.5011,16/07/2020
7073,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,4,4,1,3,1,1,4,4,4,2,4,2,2,2,2,2,1,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,1,1,2,1,2,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,7,.a,1,5,3,3,3,3,3,1,2,5,5,5,5,5,4,4,.a,.a,.a,.a,.a,.a,2,3,2,3,3,3,2,2,3,3,2,2,3,2,.a,.a,.a,.a,.a,.a,5,5,1,4,1,4,4,2,2,3,1,1,0,2,5,1,4,1,1226.8095,16/07/2020
7074,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,2,2,2,3,2,3,2,3,3,3,3,4,2,4,2,1,2,2,2,2,4,2,2,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,2,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,5,2,1,5,3,3,3,3,3,3,3,5,5,5,5,5,3,8,2,2,2,2,2,1,2,3,3,3,3,3,1,2,4,2,2,2,2,2,.a,.a,.a,.a,.a,.a,5,5,4,4,3,1,1,1,1,.d,1,1,0,2,5,1,2,4,15005.0137,16/07/2020
7075,3,.a,1,2,1,2,2,2,2,2,2,.a,.a,.a,.a,.a,1,1,1,3,2,1,1,1,2,1,3,3,1,3,1,2,3,3,3,1,1,3,2,2,2,2,2,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,4,.a,.a,2,2,2,1,1,2,2,2,5,.a,1,3,3,1,2,3,1,3,2,3,3,3,3,5,3,8,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,.a,.a,.a,.a,.a,.a,1,1,1,5,1,1,1,2,1,4,1,1,1,2,3,1,2,3,6867.2643,16/07/2020
7076,3,.a,.b,1,1,1,1,1,2,1,1,.a,.a,.a,.a,.a,2,3,2,5,5,5,2,4,1,2,3,3,2,3,1,3,2,3,1,4,1,3,2,1,1,1,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,1,1,2,1,2,2,4,.a,.a,2,2,1,1,1,2,1,1,4,.a,1,4,3,3,2,1,3,2,2,3,3,2,5,5,3,7,2,2,2,1,2,2,2,3,2,3,3,3,2,2,3,3,2,2,3,1,1,2,2,2,2,2,3,5,3,4,1,5,4,2,1,1,1,1,1,2,3,1,4,1,1104.8559,16/07/2020
7077,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,3,2,3,2,1,3,4,2,2,2,2,4,1,2,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,2,2,2,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,5,1,1,5,3,1,1,3,1,1,1,3,3,3,3,3,3,3,.a,.a,.a,.a,.a,.a,3,3,2,3,3,3,1,2,3,3,3,3,3,2,.a,.a,.a,.a,.a,.a,4,4,4,4,3,5,5,2,2,.d,2,1,1,2,4,1,3,4,2597.8432,16/07/2020
